Postcode, Number of PNs , Face Value ($) 
2170," 10,865 "," 3,077,217 "
2145," 6,923 "," 1,858,642 "
2560," 6,842 "," 1,850,975 "
2148," 5,947 "," 1,652,881 "
2770," 5,839 "," 1,592,724 "
2250," 5,449 "," 1,454,395 "
2200," 5,429 "," 1,515,741 "
2153," 5,239 "," 1,323,374 "
2026," 4,990 "," 1,076,455 "
2259," 4,925 "," 1,385,181 "
2160," 4,862 "," 1,348,496 "
2144," 4,848 "," 1,312,227 "
2155," 4,828 "," 1,262,991 "
2035," 4,818 "," 1,061,522 "
2176," 4,723 "," 1,334,601 "
2161," 4,624 "," 1,342,112 "
2166," 4,519 "," 1,189,478 "
2800," 4,444 "," 1,049,888 "
2168," 4,442 "," 1,303,446 "
2099," 4,327 "," 989,071 "
2165," 4,249 "," 1,218,993 "
2196," 4,183 "," 1,125,842 "
2031," 4,155 "," 870,239 "
2795," 4,145 "," 964,480 "
2747," 4,124 "," 1,145,278 "
2171," 4,115 "," 1,197,669 "
2570," 4,092 "," 1,125,775 "
2750," 4,078 "," 1,143,164 "
2756," 3,907 "," 1,167,626 "
2036," 3,853 "," 889,811 "
2000," 3,815 "," 1,052,119 "
2112," 3,815 "," 885,830 "
2190," 3,733 "," 1,099,538 "
2154," 3,640 "," 898,782 "
2261," 3,600 "," 967,571 "
2567," 3,580 "," 1,006,273 "
2500," 3,444 "," 894,367 "
2216," 3,434 "," 830,954 "
2142," 3,373 "," 914,021 "
2147," 3,368 "," 890,274 "
2141," 3,231 "," 825,129 "
2234," 3,221 "," 793,469 "
2760," 3,217 "," 923,756 "
2210," 3,215 "," 808,221 "
2017," 3,203 "," 740,377 "
2135," 3,099 "," 758,034 "
2230," 3,095 "," 712,429 "
2220," 3,079 "," 739,608 "
2122," 3,074 "," 700,572 "
2010," 3,072 "," 745,028 "
2088," 3,001 "," 649,354 "
2217," 2,992 "," 744,535 "
2195," 2,965 "," 755,717 "
2830," 2,949 "," 795,939 "
2066," 2,915 "," 654,294 "
2046," 2,868 "," 682,352 "
2650," 2,844 "," 776,682 "
2150," 2,832 "," 738,155 "
2320," 2,819 "," 784,307 "
2034," 2,816 "," 598,800 "
2450," 2,808 "," 770,774 "
2745," 2,802 "," 779,214 "
2207," 2,786 "," 689,487 "
2566," 2,764 "," 1,030,920 "
2229," 2,746 "," 687,191 "
2077," 2,733 "," 660,531 "
2137," 2,715 "," 650,627 "
2340," 2,656 "," 755,364 "
2232," 2,648 "," 649,895 "
2540," 2,617 "," 721,953 "
2065," 2,617 "," 607,179 "
2761," 2,606 "," 724,379 "
2763," 2,588 "," 655,363 "
2759," 2,543 "," 716,554 "
2121," 2,464 "," 548,693 "
2138," 2,454 "," 594,473 "
2194," 2,446 "," 584,748 "
2444," 2,425 "," 627,159 "
2204," 2,423 "," 631,263 "
2480," 2,411 "," 665,173 "
2117," 2,365 "," 558,547 "
2164," 2,353 "," 783,595 "
2101," 2,345 "," 577,617 "
2205," 2,316 "," 612,568 "
2162," 2,312 "," 648,519 "
2251," 2,279 "," 563,028 "
2767," 2,265 "," 629,923 "
2118," 2,259 "," 527,032 "
2113," 2,259 "," 587,435 "
2768," 2,249 "," 564,096 "
2011," 2,236 "," 517,336 "
2287," 2,216 "," 566,941 "
2290," 2,209 "," 575,049 "
2100," 2,204 "," 543,095 "
2114," 2,195 "," 513,862 "
2076," 2,180 "," 495,065 "
2067," 2,159 "," 485,742 "
2199," 2,159 "," 616,005 "
2018," 2,153 "," 552,898 "
2233," 2,134 "," 495,682 "
2040," 2,112 "," 463,708 "
